Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Date_month
3,17.0,23.6,1.5,9.8,11.8,14,40.0,8,14,20,15.0,94,86,1005.9,1021.7,3.0,2.0,18.4,20.8,True,False,11
5,10.5,21.0,1.5,0.4,9.5,15,40.0,1,1,16,9.0,52,41,1011.0,1020.9,2.0,1.0,16.0,10.6,True,False,11
4,13.9,21.5,1.5,8.6,3.0,1,29.0,4,0,19,18.0,94,55,1014.1,1016.0,5.0,0.0,20.5,20.3,True,False,12
10,13.7,28.7,0.2,9.2,2.0,8,25.0,6,3,17,13.0,86,35,1022.5,1013.9,0.0,3.0,14.1,15.4,True,False,3
1,18.3,26.7,1.5,14.3,2.1,3,50.0,11,4,7,18.0,77,75,1005.8,1018.6,8.0,3.0,25.7,19.2,True,False,11
5,18.0,26.3,1.5,10.5,1.4,5,21.0,9,7,18,5.0,98,81,1017.6,1007.4,8.0,1.0,18.7,25.3,True,False,1
10,17.3,31.8,1.5,6.7,4.7,1,39.0,13,0,10,18.0,66,41,1021.8,1022.3,5.0,2.0,22.1,20.7,True,False,10
10,22.0,32.0,1.5,7.6,11.1,12,31.0,15,15,9,10.0,59,51,1010.7,1013.7,5.0,1.0,28.4,30.6,True,False,12
10,24.8,37.9,1.5,5.1,5.8,0,49.0,14,10,6,7.0,70,40,1011.7,1016.8,8.0,0.0,28.0,37.6,True,False,3
10,28.4,36.0,1.5,4.7,6.3,5,31.0,3,0,11,18.0,58,33,1011.0,1018.7,7.0,2.0,29.0,28.6,True,False,1
4,16.1,23.0,1.5,1.3,10.1,8,26.0,3,1,17,11.0,98,57,1022.2,1017.0,4.0,3.0,17.4,17.6,True,False,6
10,23.3,34.4,1.5,11.5,4.0,3,36.0,10,9,13,19.0,99,44,1011.1,1006.7,1.0,6.0,24.9,27.1,True,False,6
7,15.0,22.7,1.5,14.6,9.5,12,50.0,9,6,7,6.0,87,81,1007.3,1014.2,3.0,4.0,18.1,17.1,True,False,11
8,14.2,19.8,1.5,0.4,3.4,2,34.0,10,13,18,16.0,92,85,1024.1,1011.0,0.0,7.0,18.0,15.7,True,False,3
6,20.5,35.4,1.5,2.7,5.4,0,29.0,3,9,5,10.0,68,68,1010.4,1009.1,1.0,7.0,33.1,33.2,True,False,7
10,19.7,30.9,1.5,10.5,8.6,11,26.0,13,11,12,7.0,81,46,1011.4,1021.5,5.0,6.0,26.9,21.2,True,False,8
1,26.9,35.2,1.5,0.2,2.3,2,20.0,15,15,11,9.0,87,36,1017.8,1017.6,3.0,6.0,33.2,27.6,True,False,9
6,11.1,21.7,1.5,11.9,1.2,13,43.0,9,9,13,19.0,69,80,1019.5,1005.8,8.0,4.0,14.0,21.2,True,False,6
4,19.6,29.7,1.5,4.1,6.8,7,42.0,10,2,10,13.0,95,63,1008.3,1020.1,8.0,0.0,25.3,20.7,True,False,8
8,10.4,17.4,1.5,5.8,3.7,4,46.0,10,0,10,19.0,77,84,1010.1,1016.1,8.0,7.0,15.1,10.8,True,False,8
2,13.7,25.7,1.5,0.6,1.3,2,31.0,12,14,17,5.0,68,67,1014.8,1007.5,5.0,3.0,22.2,18.2,True,False,3
5,15.3,21.8,1.5,10.5,2.5,8,50.0,7,0,11,18.0,97,72,1020.4,1009.6,7.0,6.0,21.5,21.7,True,False,12
6,12.3,26.8,1.5,8.9,5.3,12,35.0,15,4,7,13.0,92,80,1023.7,1021.4,6.0,5.0,25.7,15.0,True,False,3
4,16.5,29.8,1.5,6.5,5.4,8,27.0,4,2,20,11.0,95,33,1005.6,1007.5,3.0,8.0,28.3,27.8,True,False,11
2,21.2,35.6,1.5,6.6,5.5,0,32.0,6,6,15,20.0,55,77,1007.7,1009.7,3.0,6.0,28.7,22.7,True,False,2
7,25.2,34.4,1.5,9.8,5.2,1,44.0,7,12,9,7.0,81,80,1008.3,1013.2,4.0,4.0,31.2,28.2,True,False,3
7,19.4,28.6,1.5,9.0,3.0,7,28.0,7,8,16,6.0,99,90,1006.6,1012.3,5.0,2.0,25.5,23.1,True,False,5
2,14.2,28.4,1.5,4.6,1.3,3,25.0,9,7,17,15.0,99,75,1013.6,1005.2,2.0,1.0,21.0,24.9,True,False,5
9,27.3,36.9,1.5,5.3,11.4,0,20.0,2,3,9,6.0,60,54,1018.3,1008.9,6.0,7.0,28.8,33.9,True,False,3
1,27.1,35.9,1.5,6.6,5.9,1,33.0,13,5,20,19.0,90,56,1021.0,1020.9,1.0,7.0,34.4,32.4,True,False,5
4,23.6,28.9,1.5,1.6,8.0,14,43.0,1,0,15,5.0,86,30,1010.9,1024.1,2.0,4.0,26.9,28.6,True,False,12
8,13.3,27.8,1.5,7.0,2.7,0,45.0,6,10,14,16.0,83,65,1016.1,1012.6,5.0,7.0,24.1,16.1,True,False,7
