Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2023-06-06,Chennai,16.7,23.1,13.8,4.5,5.8,E,21,NNW,E,12,17,80,77,1012.3,1019.8,6,1,22.1,21.7,Yes,Yes
2025-11-12,Bangalore,17.0,23.6,14.3,9.8,11.8,ENE,40,SSW,E,20,15,94,86,1005.9,1021.7,3,2,18.4,20.8,Yes,No
2017-11-19,Kolkata,10.5,21.0,18.0,0.4,9.5,E,40,N,NNW,16,9,52,41,1011.0,1020.9,NA,NA,16.0,10.6,Yes,No
2029-03-12,Delhi,15.7,21.3,10.4,7.5,NA,NNE,43,N,WSW,19,7,52,39,1006.7,1009.8,8,5,16.0,19.6,Yes,Yes
2022-04-13,Pune,16.5,25.0,1.9,NA,NA,SSW,39,NNW,SSE,9,6,85,78,1007.7,1017.1,NA,2,21.6,23.0,Yes,Yes
2028-12-18,Jaipur,28.9,38.2,1.3,4.1,NA,WSW,27,N,NE,20,7,67,51,1012.0,1010.4,4,5,30.3,34.4,Yes,Yes
2012-12-09,Chennai,13.9,21.5,18.7,8.6,3.0,NW,29,WNW,NW,19,18,94,55,1014.1,1016.0,5,0,20.5,20.3,Yes,No
2017-11-10,Chennai,10.8,18.5,3.2,10.1,NA,SSE,37,ESE,NNW,8,16,76,75,1010.2,1013.3,NA,3,17.9,15.8,Yes,Yes
2026-03-16,Lucknow,13.7,28.7,0.2,9.2,2.0,SSW,25,WSW,WNW,17,13,86,35,1022.5,1013.9,0,3,14.1,15.4,Yes,No
2028-04-12,Bangalore,25.9,36.9,11.3,4.7,1.0,S,22,WNW,SE,9,7,70,87,1019.0,1005.1,2,5,36.3,27.3,Yes,Yes
2027-11-11,Delhi,18.3,26.7,10.0,14.3,2.1,N,50,SSE,W,7,18,77,75,1005.8,1018.6,8,NA,25.7,19.2,Yes,No
2024-12-06,Mumbai,15.4,25.9,10.6,NA,0.8,S,43,SSW,WNW,15,15,77,66,1024.4,1017.4,NA,5,22.5,24.9,Yes,Yes
2027-12-21,Pune,16.2,23.2,11.6,6.7,1.1,WSW,50,S,ENE,8,14,79,49,1012.9,1009.2,1,4,21.6,20.5,Yes,Yes
2015-01-31,Kolkata,18.0,26.3,19.7,NA,1.4,WSW,21,NE,SSW,18,5,98,81,1017.6,1007.4,NA,1,18.7,25.3,Yes,No
2028-10-28,Lucknow,17.3,31.8,8.8,NA,4.7,NW,39,SE,NW,10,18,66,41,1021.8,1022.3,NA,2,22.1,20.7,Yes,No
2019-09-20,Hyderabad,21.4,34.3,8.4,0.2,NA,SW,38,SSE,SW,11,14,82,87,1008.5,1010.0,1,4,22.7,22.3,Yes,Yes
2031-12-11,Lucknow,22.0,32.0,10.3,7.6,11.1,SE,31,E,ESE,9,10,59,51,1010.7,1013.7,NA,1,28.4,30.6,Yes,No
2019-03-21,Lucknow,24.8,37.9,19.5,5.1,5.8,NNW,49,ESE,SE,6,7,70,40,1011.7,1016.8,NA,NA,28.0,37.6,Yes,No
2010-02-19,Bangalore,15.3,24.5,10.0,12.3,NA,SE,39,NNE,ESE,13,15,58,40,1006.9,1013.9,NA,NA,20.1,24.2,Yes,Yes
2015-10-02,Lucknow,21.2,35.2,9.8,9.9,2.3,NE,35,SSW,N,10,16,75,46,1014.2,1006.8,0,NA,24.3,27.9,Yes,Yes
2029-01-07,Lucknow,28.4,36.0,17.4,4.7,6.3,WSW,31,NNE,NW,11,18,58,33,1011.0,1018.7,NA,2,29.0,28.6,Yes,No
2008-12-22,Lucknow,19.2,30.7,16.7,NA,0.2,SSW,49,NNE,ESE,15,16,92,77,1016.0,1012.8,6,7,25.8,22.7,Yes,Yes
2025-06-18,Chennai,16.1,23.0,19.3,NA,10.1,SSW,26,NNE,NNW,17,11,98,57,1022.2,1017.0,4,3,17.4,17.6,Yes,No
2018-09-04,Delhi,10.9,21.4,1.8,9.2,7.3,NE,37,NNW,ENE,17,16,74,41,1024.5,1020.9,0,3,11.3,14.9,Yes,Yes
